Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR37266342,2026-02-18 00:07:43,2026-02-17 14:16:03,26365995,6620053455,26365995,251,1959,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37266/SRR37266342/SRR37266342.lite.1,SRX32200171,GSM9524673,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP677812,PRJNA1425010,,1425010,SRS28126730,SAMN55405046,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM9524673,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA2335532,,public,A890F26DFF12E39158A40C4B3EF08F80,6B76D0E04665CC1AB7FAC455706676C9
SRR37266343,2026-02-18 00:07:43,2026-02-17 14:16:23,26121181,6736146140,26121181,257,1955,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37266/SRR37266343/SRR37266343.lite.1,SRX32200170,GSM9524672,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP677812,PRJNA1425010,,1425010,SRS28126729,SAMN55405047,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM9524672,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA2335532,,public,895CB864E58D9CC436DBB5249D8000D6,B590C51D68EBC7EC774BB7EBA909215C
SRR37266344,2026-02-18 00:07:43,2026-02-17 14:17:02,28063365,7499698893,28063365,267,2145,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37266/SRR37266344/SRR37266344.lite.1,SRX32200169,GSM9524671,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP677812,PRJNA1425010,,1425010,SRS28126728,SAMN55405048,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM9524671,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA2335532,,public,0B49C514502862EC216C2A333BD667A6,383D900B6F304CC55462ABAFBEC2A89D
SRR37266345,2026-02-18 00:07:43,2026-02-17 14:16:59,23552765,5944163736,23552765,252,1740,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37266/SRR37266345/SRR37266345.lite.1,SRX32200168,GSM9524670,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP677812,PRJNA1425010,,1425010,SRS28126727,SAMN55405049,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM9524670,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA2335532,,public,70638409EA771276C9E3860F00FF9837,606B6CAA0E7B5AEDFE54C2ED38EFC0A1
SRR37266346,2026-02-18 00:07:43,2026-02-17 14:17:37,24935680,6463390538,24935680,259,1870,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37266/SRR37266346/SRR37266346.lite.1,SRX32200167,GSM9524669,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP677812,PRJNA1425010,,1425010,SRS28126726,SAMN55405050,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM9524669,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA2335532,,public,AEE3B12BF952B02CC60506C9FAD18E02,09547C9E6988B0813B20ED51A91ED62C
SRR37266351,2026-02-18 00:07:43,2026-02-17 14:10:40,26669419,6041415782,26669419,226,1840,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37266/SRR37266351/SRR37266351.lite.1,SRX32200162,GSM9524664,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP677812,PRJNA1425010,,1425010,SRS28126721,SAMN55405055,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM9524664,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA2335532,,public,BC312F16B6E9E46454D721BD04C32ADD,8106612C6BA069383544FB0252AA4955
SRR37266350,2026-02-18 00:07:43,2026-02-17 14:25:48,27045211,6983894863,27045211,258,2021,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37266/SRR37266350/SRR37266350.lite.1,SRX32200163,GSM9524665,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP677812,PRJNA1425010,,1425010,SRS28126722,SAMN55405054,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM9524665,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA2335532,,public,D80791B43175C534CBAC004ADA22960F,DB6DCD0AEEAD772DA343240A1EDE68B0
SRR37266349,2026-02-18 00:07:43,2026-02-17 14:19:02,26772759,6858307963,26772759,256,1994,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37266/SRR37266349/SRR37266349.lite.1,SRX32200164,GSM9524666,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP677812,PRJNA1425010,,1425010,SRS28126724,SAMN55405053,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM9524666,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA2335532,,public,D9A312B5C6F8170EADE7727C6550FEE3,9B4DD385EDF38A6382E8D2124A634AB0
SRR37266348,2026-02-18 00:07:43,2026-02-17 14:18:14,24855510,6250139163,24855510,251,1852,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37266/SRR37266348/SRR37266348.lite.1,SRX32200165,GSM9524667,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP677812,PRJNA1425010,,1425010,SRS28126723,SAMN55405052,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM9524667,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA2335532,,public,4A4E3401E5508D026B897B416BD8B5D0,F359765AB9B9F1A2FE4A4430086A89D1
SRR37266347,2026-02-18 00:07:43,2026-02-17 14:16:23,26480369,7008621886,26480369,264,2016,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37266/SRR37266347/SRR37266347.lite.1,SRX32200166,GSM9524668,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP677812,PRJNA1425010,,1425010,SRS28126725,SAMN55405051,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM9524668,,,,,,,no,,,,,CORNELL UNIVERSITY,SRA2335532,,public,0431513E288DDC821689A54B22D3A9C9,37EA203FAAE066F3D06B6C980FE9886C
